adm_id,year,SM_WHC,avgTAVGp0,avgCWBp0,avgPRECp0,avgTAVGp1,avgPRECp1,avgTAVGp2,avgCWBp2,avgTAVGp3,avgPRECp3,avgCWBp4,Z-TAVGp1,Z-TMINp1,Z-PRECp1,Z+TAVGp1,Z+TMINp1,Z+PRECp1,Z-TAVGp3,Z-CWBp3,Z-PRECp3,Z-TMAXp3,Z+TAVGp3,Z+CWBp3,Z+PRECp3,Z+TMAXp3,avgFAPARp2,yield
AL_LAUDERDALE,2010,11.96848916802795,11.09,103.56,34.49,21.76,53.18,25.61,78.2,27.36,77.24,144.64,0.0,0.0,0.0,4.65,5.2,3.35,0.0,0.0,0.0,1.36,2.22,4.95,8.01,0.48,0.66,8.507
AL_LAUDERDALE,2011,11.96848916802795,12.5,91.42,37.16,20.69,19.8,25.92,-47.68,27.66,49.52,-124.95,0.0,0.0,1.12,3.97,3.42,0.0,0.0,0.0,0.1,0.0,2.62,2.02,4.06,1.65,0.56,8.393
AL_LAWRENCE,2000,11.810489732526587,12.55,75.48,37.65,22.35,20.29,25.22,-32.82,26.6,28.87,-216.35,0.0,0.0,1.05,5.02,5.24,0.0,0.01,0.0,1.07,0.0,1.19,1.22,2.02,2.0,0.54,6.658
AL_LAWRENCE,2004,11.810489732526587,12.18,81.18,32.29,22.06,29.56,24.41,-4.23,24.4,31.29,-32.81,0.0,0.0,0.85,4.83,5.51,1.04,1.78,0.0,0.49,1.06,0.0,2.86,1.8,0.12,0.63,10.155
AL_LAWRENCE,2005,11.810489732526587,11.94,89.29,35.25,20.01,24.78,24.11,124.32,26.09,53.04,234.7,0.0,0.0,1.88,3.54,3.42,1.43,0.3,0.0,0.0,2.34,0.8,6.14,4.47,0.06,0.57,9.146
AL_LAWRENCE,2006,11.810489732526587,12.67,52.87,30.21,20.99,18.91,25.72,-200.72,29.2,15.17,-435.26,0.0,0.0,1.57,4.16,4.93,0.34,0.0,1.64,1.05,0.0,4.7,0.0,0.0,3.99,0.46,5.178
AL_LAWRENCE,2007,11.810489732526587,12.77,-61.51,17.94,22.9,9.3,25.52,-362.3,28.19,23.89,-483.03,0.0,0.0,2.52,5.36,4.69,0.0,0.19,2.82,0.65,0.55,3.53,0.0,0.87,3.88,0.49,4.909
AL_LAWRENCE,2008,11.810489732526587,12.04,33.49,30.92,20.69,35.66,25.03,-122.61,26.34,35.2,-217.83,0.0,0.0,0.0,3.97,4.24,1.01,0.22,0.0,0.62,0.47,1.05,0.61,2.49,1.25,0.55,6.591
AL_LAWRENCE,2010,11.810489732526587,11.27,125.25,36.15,21.96,49.16,25.59,90.82,27.23,80.91,170.19,0.0,0.0,0.0,4.77,5.39,2.81,0.0,0.0,0.0,1.57,2.04,5.25,8.54,0.35,0.68,9.617
AL_LAWRENCE,2011,11.810489732526587,12.78,77.35,35.43,20.82,16.81,25.88,-91.56,27.37,52.16,-150.13,0.0,0.0,1.51,4.06,3.53,0.0,0.0,0.0,0.0,0.14,2.23,1.47,4.35,1.09,0.56,8.911
AL_SHELBY,2001,11.886477786203775,10.09,120.23,42.97,18.45,26.6,22.76,97.95,26.42,48.77,78.41,0.0,0.04,1.79,2.56,1.29,1.58,0.0,0.0,0.52,0.0,0.95,4.07,4.38,0.6,0.61,3.363
AL_SHELBY,2002,11.886477786203775,10.8,59.68,29.49,19.36,17.5,23.85,-106.75,26.24,68.44,-123.27,0.0,0.0,1.42,3.14,4.09,0.0,0.15,0.0,0.0,1.24,0.84,1.44,6.72,0.68,0.57,4.573
AL_SHELBY,2003,11.886477786203775,10.11,44.01,26.78,17.97,26.37,22.92,16.02,25.55,68.29,89.3,0.0,0.0,1.22,2.27,1.99,0.98,0.45,0.0,0.0,1.91,0.22,4.09,6.7,0.0,0.64,6.725
AL_SHELBY,2009,11.886477786203775,10.38,93.52,39.66,17.02,22.24,23.59,82.03,26.04,46.35,11.53,0.05,0.19,1.21,1.72,1.24,0.42,0.07,0.0,0.0,0.32,0.5,3.17,3.5,0.49,0.62,7.667
AL_SHELBY,2010,11.886477786203775,8.32,138.79,35.23,18.72,14.18,24.24,70.16,27.39,62.83,110.9,0.0,0.0,1.87,2.73,2.17,0.0,0.0,0.0,0.0,0.56,2.25,4.52,5.9,0.66,0.62,5.972
AL_SHELBY,2011,11.886477786203775,10.75,63.68,32.77,19.43,22.38,24.44,-144.32,26.71,82.21,-205.82,0.0,0.0,0.89,3.18,2.13,0.12,0.0,0.15,0.0,1.39,1.34,0.31,8.73,1.01,0.57,6.846
AL_TALLADEGA,2000,11.580875739552615,11.36,37.59,27.51,15.8,19.63,23.59,-160.66,27.29,34.03,-369.6,0.0,0.12,1.14,0.9,1.85,0.0,0.26,0.83,0.02,0.0,2.38,0.0,1.72,2.33,0.54,1.95
AL_TALLADEGA,2002,11.580875739552615,10.62,55.45,29.37,19.09,19.59,23.53,-102.49,26.12,68.92,-107.18,0.0,0.0,1.14,2.97,4.21,0.0,0.21,0.0,0.0,1.36,0.74,1.5,6.79,0.75,0.6,7.061
AL_TALLADEGA,2004,11.580875739552615,10.23,27.58,23.12,17.18,20.5,23.08,-114.8,26.41,45.89,-142.18,0.0,0.18,1.02,1.77,1.21,0.0,0.0,0.0,0.0,0.21,0.93,1.62,3.43,1.0,0.64,9.012
AL_TALLADEGA,2005,11.580875739552615,11.06,78.96,42.87,16.13,45.57,22.36,180.77,25.91,73.57,321.81,0.0,0.0,0.21,1.11,1.5,2.54,0.34,0.0,0.0,1.85,0.6,7.41,7.47,0.96,0.64,8.81
AL_TALLADEGA,2006,11.580875739552615,11.72,69.51,27.91,19.85,15.81,24.14,-186.48,27.79,23.9,-432.67,0.0,0.0,1.69,3.44,3.32,0.04,0.0,1.77,0.37,0.0,2.8,0.0,0.59,2.57,0.58,4.371
AL_TALLADEGA,2007,11.580875739552615,10.69,-2.48,21.42,15.79,19.04,23.16,-267.41,25.5,45.58,-441.97,0.43,0.65,1.22,1.32,1.69,0.0,0.57,1.83,0.0,1.52,0.27,0.0,3.39,0.0,0.49,5.38
AL_TALLADEGA,2010,11.580875739552615,8.12,125.08,33.0,18.54,13.93,23.95,53.91,27.19,64.78,127.96,0.0,0.0,1.93,2.62,2.18,0.03,0.0,0.0,0.0,0.43,1.98,4.42,6.19,0.59,0.64,8.245
AL_TALLADEGA,2011,11.580875739552615,10.52,64.88,32.93,19.15,22.31,24.19,-137.66,26.5,84.79,-221.14,0.0,0.0,0.82,3.01,2.12,0.04,0.0,0.07,0.0,1.53,1.06,0.45,9.11,0.8,0.58,8.225
AR_ASHLEY,2005,16.93890876725048,9.39,56.5,33.8,10.55,30.58,17.65,-13.56,26.27,28.02,-201.82,2.39,1.45,0.81,0.0,0.0,1.14,0.38,0.0,0.57,0.0,1.12,0.79,1.39,1.7,0.32,11.096
AR_ASHLEY,2006,16.93890876725048,9.16,59.39,43.29,7.63,47.58,18.34,49.41,26.88,18.42,-151.46,4.22,3.2,1.04,0.0,0.0,3.64,0.0,0.0,0.58,0.0,1.57,1.58,0.0,1.58,0.33,10.222
AR_ASHLEY,2009,16.93890876725048,8.22,10.12,19.33,10.63,20.78,17.5,71.04,26.27,27.16,51.95,2.34,2.93,1.05,0.0,0.0,0.06,1.05,0.0,1.06,0.49,1.79,4.45,1.76,1.41,0.34,9.751
AR_ASHLEY,2010,16.93890876725048,4.49,44.54,29.71,5.15,24.24,17.54,-39.05,28.01,39.89,-177.39,5.78,3.84,1.41,0.0,0.0,0.89,0.0,0.0,0.0,0.28,3.09,1.03,2.56,1.79,0.34,11.365
AR_CHICOT,2001,21.10400009155273,6.39,70.87,44.33,10.37,53.2,17.71,154.41,25.4,30.05,-2.29,2.51,2.65,0.85,0.0,0.0,4.2,1.31,0.0,0.73,1.26,0.88,3.78,1.85,0.51,0.28,10.491
AR_CHICOT,2002,21.10400009155273,7.99,57.31,36.08,7.46,17.92,17.48,79.9,25.48,29.05,-52.57,4.33,3.22,1.37,0.0,0.0,0.0,1.32,0.0,0.13,2.13,1.0,2.86,1.1,0.17,0.27,8.07
AR_CHICOT,2003,21.10400009155273,6.06,-10.86,22.18,7.47,51.86,17.69,-25.75,24.59,40.33,-152.71,4.33,2.98,0.0,0.0,0.0,3.17,1.53,0.0,0.65,0.87,0.0,1.31,3.27,0.11,0.3,9.012
AR_CHICOT,2004,21.10400009155273,6.74,71.79,48.04,7.25,61.12,17.78,94.14,26.42,38.03,-26.22,4.46,2.84,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.47,0.95,3.15,2.29,0.13,0.31,8.944
AR_CHICOT,2005,21.10400009155273,9.53,52.91,33.85,10.7,32.37,17.74,-22.32,26.33,27.15,-219.58,2.3,1.33,0.61,0.0,0.0,1.17,0.34,0.03,0.7,0.0,1.16,0.59,1.39,1.16,0.29,10.088
AR_CHICOT,2006,21.10400009155273,9.12,65.71,45.19,7.66,47.26,18.36,55.05,27.04,17.26,-153.45,4.21,3.07,1.04,0.0,0.0,3.59,0.0,0.0,0.75,0.09,1.78,1.57,0.0,1.28,0.3,9.482
AR_CHICOT,2007,21.10400009155273,6.54,35.24,22.21,8.56,15.61,18.79,-112.46,27.28,12.33,-353.55,3.73,2.81,1.68,0.09,0.01,0.0,0.15,1.16,1.47,1.01,2.25,0.0,0.0,0.86,0.36,11.164
AR_CHICOT,2008,21.10400009155273,8.02,23.3,29.71,10.17,38.29,18.0,3.15,27.55,20.14,-187.29,2.63,2.39,0.0,0.0,0.0,1.36,0.0,0.0,0.96,0.21,2.47,1.17,0.64,1.07,0.34,10.491
AR_CHICOT,2009,21.10400009155273,8.17,13.85,20.66,10.5,22.82,17.56,72.24,26.27,28.85,53.48,2.42,3.05,0.95,0.0,0.0,0.24,1.01,0.0,1.05,0.67,1.76,4.47,1.99,1.32,0.28,9.213
AR_CHICOT,2010,21.10400009155273,4.43,46.08,30.29,5.16,23.81,17.55,-34.78,27.85,45.21,-156.0,5.78,3.75,1.42,0.0,0.0,0.84,0.0,0.0,0.0,0.65,2.88,1.29,3.33,1.09,0.32,10.814
AR_CHICOT,2011,21.10400009155273,6.03,40.14,27.03,9.87,17.57,18.55,-9.94,26.14,9.7,-226.15,3.11,3.84,1.96,0.29,0.0,0.54,1.86,0.05,1.85,1.1,2.42,0.77,0.0,1.34,0.31,10.538
AR_CLAY,2000,19.29786764675809,12.18,4.61,28.25,22.53,31.46,26.39,-226.2,28.11,12.28,-499.08,0.0,0.0,0.13,5.12,4.93,0.58,0.0,2.41,1.47,0.0,3.23,0.0,0.0,4.15,0.67,8.743
AR_CLAY,2001,19.29786764675809,12.23,32.15,24.5,22.46,22.74,26.13,-232.28,27.42,58.1,-356.13,0.0,0.0,0.92,5.09,5.2,0.2,0.02,0.83,0.0,1.05,2.33,0.0,5.21,0.42,0.66,9.953
AR_CLAY,2004,19.29786764675809,11.56,13.11,29.22,22.42,32.57,25.59,-169.72,24.86,22.34,-402.91,0.0,0.0,0.26,5.06,5.6,0.85,1.39,0.87,0.75,0.0,0.23,0.0,0.75,1.69,0.71,11.029
AR_CLAY,2005,19.29786764675809,11.51,7.96,25.74,20.91,2.46,26.57,-260.04,29.41,9.32,-463.43,0.0,0.0,3.43,4.11,3.57,0.0,0.0,2.31,1.9,0.0,4.99,0.0,0.0,4.19,0.67,10.02
AR_CLAY,2006,19.29786764675809,12.31,-4.77,24.67,21.56,21.32,26.53,-295.85,29.79,11.22,-598.4,0.0,0.0,1.27,4.52,5.72,0.35,0.0,3.25,1.63,0.0,5.5,0.0,0.0,4.65,0.65,11.634
AR_CLAY,2007,19.29786764675809,11.71,-17.81,22.94,23.19,11.73,26.95,-315.87,30.58,3.99,-588.2,0.0,0.0,2.19,5.54,5.84,0.0,0.0,3.85,2.68,0.0,6.56,0.0,0.0,5.28,0.65,11.836
AR_CLAY,2008,19.29786764675809,10.43,150.8,44.79,20.82,27.11,26.29,6.62,29.13,16.11,-234.69,0.0,0.0,0.57,4.06,3.57,0.44,0.0,0.0,1.2,0.0,4.6,1.18,0.28,4.9,0.66,11.096
AR_CLAY,2010,19.29786764675809,11.14,31.55,35.61,21.89,59.68,26.92,-3.13,29.23,54.9,-65.82,0.0,0.0,0.0,4.73,4.97,4.22,0.0,0.0,0.0,0.0,4.74,2.85,4.75,1.61,0.66,10.491
AR_CLAY,2011,19.29786764675809,11.65,108.96,53.88,20.32,47.84,26.92,92.14,29.65,41.61,-84.63,0.0,0.0,0.54,3.74,3.11,3.18,0.0,0.0,0.25,0.0,5.31,3.22,3.05,4.25,0.64,9.718
AR_GREENE,2000,16.539827209107834,12.38,6.14,29.04,22.64,31.6,26.54,-221.72,28.38,10.64,-502.42,0.0,0.0,0.17,5.19,5.1,0.63,0.0,2.42,1.71,0.0,3.59,0.0,0.0,4.29,0.62,8.406
AR_GREENE,2001,16.539827209107834,12.45,35.98,24.94,22.59,22.62,26.25,-230.12,27.53,57.83,-354.75,0.0,0.0,1.02,5.17,5.37,0.28,0.0,0.81,0.0,0.9,2.45,0.0,5.17,0.37,0.64,9.415
AR_GREENE,2004,16.539827209107834,11.78,18.94,30.06,22.5,32.95,25.67,-160.58,25.03,20.89,-395.97,0.0,0.0,0.23,5.11,5.68,0.87,1.23,0.75,0.91,0.0,0.29,0.0,0.7,1.69,0.67,9.886
AR_GREENE,2005,16.539827209107834,11.74,5.28,25.75,21.04,2.48,26.73,-267.96,29.66,9.27,-480.04,0.0,0.0,3.43,4.19,3.66,0.0,0.0,2.51,1.91,0.0,5.32,0.0,0.0,4.46,0.63,8.339
AR_GREENE,2006,16.539827209107834,12.56,-8.47,24.43,21.77,21.39,26.67,-305.21,29.91,11.69,-609.1,0.0,0.0,1.28,4.65,5.91,0.38,0.0,3.38,1.56,0.0,5.66,0.0,0.0,4.86,0.6,9.751
AR_GREENE,2007,16.539827209107834,11.96,-19.11,23.18,23.28,12.66,27.01,-310.01,30.69,3.48,-575.81,0.0,0.0,2.11,5.6,5.81,0.04,0.0,3.68,2.76,0.0,6.72,0.0,0.0,5.32,0.62,11.567
AR_GREENE,2008,16.539827209107834,10.71,147.17,44.53,21.08,26.14,26.47,-8.73,29.33,15.29,-253.44,0.0,0.0,0.66,4.22,3.69,0.39,0.0,0.0,1.26,0.0,4.87,0.91,0.22,5.06,0.59,10.289
AR_GREENE,2010,16.539827209107834,11.34,25.81,34.94,22.06,60.4,26.98,-13.47,29.22,58.21,-61.12,0.0,0.0,0.0,4.83,5.18,4.32,0.0,0.0,0.0,0.0,4.74,2.83,5.23,1.56,0.62,10.693
AR_GREENE,2011,16.539827209107834,11.89,104.49,52.43,20.5,45.81,27.05,66.68,29.64,44.91,-104.94,0.0,0.0,0.65,3.85,3.2,3.02,0.0,0.0,0.22,0.0,5.29,2.93,3.51,4.18,0.56,7.418
AR_INDEPENDENCE,2000,14.103965620899766,12.34,-6.45,26.62,22.26,30.68,26.13,-212.6,28.2,7.76,-488.25,0.0,0.0,0.38,4.96,5.11,0.72,0.0,2.2,2.13,0.0,3.35,0.0,0.0,3.9,0.5,8.608
AR_INDEPENDENCE,2001,14.103965620899766,12.26,56.26,26.72,22.0,23.72,25.79,-165.67,27.19,48.96,-298.73,0.0,0.0,0.78,4.79,5.26,0.19,0.02,0.05,0.0,0.65,2.01,0.19,3.88,0.26,0.61,9.146
AR_INDEPENDENCE,2004,14.103965620899766,11.71,32.65,29.41,22.07,29.72,25.26,-136.3,24.83,15.85,-367.81,0.0,0.0,0.31,4.84,5.31,0.52,1.39,0.47,1.34,0.02,0.19,0.11,0.39,1.25,0.56,8.07
AR_INDEPENDENCE,2005,14.103965620899766,11.79,3.13,24.66,20.82,3.3,26.46,-265.1,29.46,9.34,-482.38,0.0,0.0,3.32,4.05,3.55,0.0,0.0,2.73,1.9,0.0,5.05,0.0,0.0,4.59,0.48,5.38
AR_INDEPENDENCE,2006,14.103965620899766,12.58,-5.08,24.53,21.49,23.24,26.38,-282.83,29.73,10.99,-586.42,0.0,0.0,1.36,4.47,5.93,0.7,0.0,3.08,1.66,0.0,5.42,0.0,0.0,5.28,0.56,8.137
AR_INDEPENDENCE,2007,14.103965620899766,12.03,-19.8,22.59,22.77,15.17,26.37,-266.72,29.98,3.94,-501.17,0.0,0.0,1.9,5.28,5.69,0.17,0.0,2.56,2.69,0.0,5.75,0.0,0.0,4.71,0.61,10.357
AR_INDEPENDENCE,2008,14.103965620899766,10.79,150.27,44.41,21.16,21.14,26.23,-0.75,28.88,16.55,-185.34,0.0,0.0,1.1,4.27,3.5,0.17,0.0,0.0,0.86,0.0,4.27,1.13,0.01,4.88,0.54,10.491
AR_INDEPENDENCE,2010,14.103965620899766,11.27,30.95,33.41,21.82,52.01,26.61,-29.59,28.68,58.1,-68.68,0.0,0.0,0.0,4.68,5.51,3.19,0.0,0.0,0.0,0.0,4.0,2.64,5.21,1.68,0.52,8.743
AR_INDEPENDENCE,2011,14.103965620899766,11.92,86.27,49.24,20.28,45.84,26.94,36.5,29.37,46.05,-129.52,0.0,0.0,0.94,3.72,3.06,3.3,0.0,0.0,0.0,0.0,4.94,2.4,3.45,4.29,0.48,7.539
AR_JACKSON,2000,20.946520985434564,12.87,-0.66,29.22,22.88,30.94,26.75,-218.29,28.76,9.01,-503.71,0.0,0.0,0.43,5.35,5.43,0.81,0.0,2.39,1.95,0.0,4.11,0.0,0.0,4.16,0.5,9.415
AR_JACKSON,2001,20.946520985434564,12.85,50.99,26.96,22.64,23.36,26.38,-193.8,27.79,49.31,-335.59,0.0,0.0,1.05,5.2,5.61,0.41,0.0,0.36,0.0,0.53,2.8,0.0,3.93,0.45,0.61,10.558
AR_JACKSON,2004,20.946520985434564,12.27,36.99,31.12,22.65,32.05,25.81,-139.56,25.45,14.36,-382.17,0.0,0.0,0.24,5.2,5.74,0.76,0.91,0.56,1.42,0.0,0.54,0.08,0.25,1.6,0.56,10.155
AR_JACKSON,2005,20.946520985434564,12.37,-7.14,24.59,21.4,3.43,27.02,-293.13,30.07,9.43,-504.5,0.0,0.0,3.31,4.42,3.87,0.0,0.0,3.07,1.89,0.0,5.88,0.0,0.0,4.82,0.48,8.743
AR_JACKSON,2006,20.946520985434564,13.14,-13.21,24.67,22.11,23.37,26.89,-308.85,30.21,11.21,-617.49,0.0,0.0,1.24,4.86,6.18,0.61,0.0,3.46,1.63,0.0,6.07,0.0,0.0,5.45,0.56,10.491
AR_JACKSON,2007,20.946520985434564,12.61,-33.9,22.35,23.41,14.9,26.98,-307.14,30.59,3.83,-552.35,0.0,0.0,1.96,5.68,5.94,0.19,0.0,3.23,2.71,0.0,6.58,0.0,0.0,5.16,0.61,10.02
AR_JACKSON,2008,20.946520985434564,11.44,130.0,42.85,21.73,23.56,26.84,-58.76,29.51,16.28,-274.54,0.0,0.0,0.94,4.63,3.84,0.33,0.0,0.15,1.05,0.0,5.13,0.36,0.16,5.26,0.54,10.088
AR_JACKSON,2010,20.946520985434564,11.85,12.25,32.59,22.52,55.04,27.26,-69.84,29.32,58.96,-114.55,0.0,0.0,0.0,5.12,5.83,3.6,0.0,0.0,0.0,0.0,4.86,1.98,5.34,2.09,0.52,10.088
AR_JACKSON,2011,20.946520985434564,12.52,80.06,48.65,20.94,42.84,27.44,-1.11,29.73,49.65,-160.33,0.0,0.0,1.02,4.13,3.31,2.99,0.0,0.0,0.05,0.0,5.43,1.96,4.03,4.05,0.48,9.913
AR_LAFAYETTE,2000,13.96201507250468,15.36,3.75,32.71,24.26,38.1,27.59,-161.0,29.62,8.47,-436.14,0.0,0.0,0.78,6.21,6.73,2.11,0.0,1.41,2.03,0.0,5.26,0.0,0.0,4.0,0.52,7.734
AR_LAFAYETTE,2001,13.96201507250468,14.86,88.71,35.09,23.32,27.54,26.97,-84.91,28.23,46.58,-193.25,0.0,0.0,0.47,5.63,5.99,0.39,0.0,0.0,0.0,0.0,3.39,0.88,3.53,2.74,0.53,8.339
AR_LAFAYETTE,2002,13.96201507250468,14.58,95.84,37.8,22.63,28.94,26.23,-11.18,28.59,31.85,-127.53,0.0,0.0,0.44,5.19,5.61,0.54,0.0,0.0,0.16,0.0,3.87,2.58,1.54,2.43,0.54,8.608
AR_LAFAYETTE,2003,13.96201507250468,14.32,25.77,28.83,24.27,27.88,26.67,-173.96,28.94,17.54,-351.64,0.0,0.0,0.78,6.22,7.41,0.74,0.0,0.94,0.82,0.0,4.35,0.0,0.12,3.35,0.53,8.406
AR_LAFAYETTE,2004,13.96201507250468,14.42,91.74,35.04,23.57,27.58,26.6,-50.7,26.62,22.42,-249.62,0.0,0.0,0.41,5.78,7.09,0.34,0.48,0.0,0.8,0.0,1.69,1.19,0.81,1.8,0.58,8.675
AR_LAFAYETTE,2005,13.96201507250468,14.63,-30.17,20.72,22.92,13.59,27.41,-328.25,29.44,12.85,-550.84,0.0,0.0,2.32,5.37,5.39,0.37,0.0,3.29,1.43,0.0,5.03,0.0,0.04,4.1,0.46,7.129
AR_LAFAYETTE,2006,13.96201507250468,15.57,44.01,30.15,23.88,14.0,27.61,-267.77,29.8,20.17,-501.52,0.0,0.0,1.89,5.97,6.81,0.0,0.0,2.7,0.6,0.0,5.52,0.0,0.28,5.17,0.5,9.012
AR_LAFAYETTE,2007,13.96201507250468,14.86,-67.8,21.16,23.29,33.9,26.33,-204.13,29.57,21.89,-319.11,0.0,0.0,0.45,5.6,6.73,1.22,0.0,0.33,0.83,0.0,5.2,0.16,0.76,5.04,0.55,11.634
AR_LAFAYETTE,2008,13.96201507250468,14.76,33.22,32.19,23.63,22.98,27.85,-239.39,30.05,20.47,-389.91,0.0,0.0,1.15,5.82,5.72,0.46,0.0,2.29,0.8,0.0,5.85,0.0,0.52,5.82,0.55,9.55
AR_LAFAYETTE,2009,13.96201507250468,14.76,35.81,43.61,22.59,60.89,27.47,-64.92,27.83,45.44,-207.62,0.0,0.0,0.63,5.16,6.04,5.01,0.0,0.0,0.0,0.0,2.85,0.54,3.37,2.08,0.56,8.541
AR_LAFAYETTE,2010,13.96201507250468,13.79,-10.88,24.84,24.67,24.47,28.3,-203.07,29.75,56.11,-221.03,0.0,0.0,0.49,6.47,7.65,0.0,0.0,0.0,0.0,0.0,5.45,0.31,4.92,4.34,0.5,8.743
AR_LAFAYETTE,2011,13.96201507250468,15.61,-65.35,24.23,23.24,20.6,28.93,-402.44,31.36,28.79,-652.27,0.0,0.0,1.58,5.57,4.74,0.57,0.0,4.57,0.86,0.0,7.62,0.0,1.8,6.11,0.44,8.722
